"","Arsenic","Chlorine","Cobalt"
"1",2400,6.2,0.42
"2",6,116,0.45
"3",904,14.8,0.63
"4",321,35.9,0.68
"5",1280,18.9,0.58
"6",151,7.8,0.35
"7",141,56.3,0.46
"8",1050,16,0.59
"9",511,40.4,0.48
"10",688,29.3,0.87
"11",81,31.3,0.6
"12",8,36.9,0.34
"13",37,20.3,0.32
"14",6,1.3,0.41
"15",22,22.3,0.32
"16",43,22.1,0.39
"17",39,25.8,0.38
"18",92,16.2,0.44
"19",253,6.6,0.45
"20",200,1.2,0.46
"21",255,2,0.33
"22",1150,16.4,0.61
"23",1180,16.6,0.97
"24",9,55.5,0.51
"25",107,7.2,0.33
"26",6,12.9,0.31
"27",149,8.7,0.31
"28",6,4.4,0.24
"29",46,70.6,0.38
"30",13,148,0.39
"31",6,44.1,0.1
"32",150,43.2,0.88
"33",6,37.1,0.08
"34",189,5.7,0.33
"35",364,360,0.77
"36",42,17.6,0.28
"37",390,67.7,0.8
"38",6,6.7,0.11
"39",270,390,1.28
"40",248,9.6,0.35
"41",139,59.2,0.63
"42",6,3.5,1.44
"43",82,239,0.34
"44",82,63.8,1.18
"45",256,5.4,0.52
"46",165,5.4,0.37
"47",6,47.3,0.13
"48",180,1240,1.01
"49",86,72,0.3
"50",6,295,0.24
"51",38,157,0.29
"52",262,72.1,0.18
"53",404,23.6,1.01
"54",8,637,0.32
"55",85,133,0.57
"56",98,15.6,0.22
"57",6,68,0.11
"58",22,1090,0.66
"59",6,1290,0.63
"60",6,24.7,0.08
"61",6,74.6,0.1
"62",15,115,0.41
"63",103,72.1,0.25
"64",86,96,0.22
"65",6,324,0.23
"66",46,155,0.22
"67",62,64.3,0.43
"68",43,89,0.45
"69",6,310,0.16
"70",6,310,0.21
"71",55,23.9,0.43
"72",6,1550,0.66
"73",107,61.3,0.26
"74",65,69.5,0.48
"75",276,82.5,1.11
"76",114,11.1,1.5
"77",6,3.7,0.07
"78",6,2.7,0.08
"79",6,238,3.18
"80",65,254,0.41
"81",142,27.1,2.27
"82",194,6.2,0.64
"83",6,129,0.22
"84",54,14.9,0.4
"85",702,414,1.41
"86",6,74,0.23
"87",986,6.3,0.34
"88",153,34.8,0.55
"89",84,7.1,0.3
"90",16,27.6,0.39
"91",1460,9.3,0.71
"92",306,33.9,0.67
"93",49,16.5,0.38
"94",36,13.5,0.59
"95",106,7.2,1.75
"96",6,3.4,0.45
"97",41,127,1.57
"98",84,16.2,0.7
"99",278,3.6,0.42
"100",41,1.8,0.3
"101",123,10.4,0.39
"102",186,56.7,0.95
"103",80,86,0.6
"104",162,2,0.21
"105",398,7.6,0.56
"106",39,5.5,2.1
"107",57,3.8,0.63
"108",6,18.6,0.34
"109",6,2.6,0.65
"110",6,51.9,0.69
"111",18,16,0.37
"112",129,1.8,0.72
"113",245,3,0.59
"114",148,11.5,0.39
"115",28,38.7,0.6
"116",20,79.8,0.65
"117",6,93,1.17
"118",52,195,0.94
"119",6,115,0.45
"120",6,15.8,0.25
"121",6,4.2,0.3
"122",15,4,0.26
"123",73,2.6,0.26
"124",30,8.2,0.45
"125",6,2.6,0.33
"126",128,14.7,0.31
"127",45,8.7,0.29
"128",343,7.2,0.24
"129",109,5.1,0.26
"130",191,3.8,0.32
"131",160,36.6,0.76
"132",51,11.3,0.44
"133",35,16.4,0.73
"134",8,17.7,0.52
"135",11,11,0.84
"136",15,4.8,0.57
"137",6,11.3,0.95
"138",6,13.8,0.39
"139",6,10.5,0.44
"140",6,2.2,0.14
"141",132,7.5,0.42
"142",8,87,0.68
"143",10,17.1,0.34
"144",6,9.6,0.78
"145",6,2,0.85
"146",195,4,0.41
"147",27,67.8,1.06
"148",6,4.8,0.86
"149",24,12.7,1.51
"150",12,4.8,0.5
"151",161,7.5,0.47
"152",9,78.2,1.27
"153",171,4.8,0.38
"154",35,42.5,0.33
"155",742,14.9,0.57
"156",51,18.2,0.44
"157",6,8.7,0.33
"158",6,8.8,0.26
"159",6,328,0.91
"160",6,3.2,0.2
"161",6,7,0.4
"162",6,3.2,0.2
"163",6,19.1,0.25
"164",6,13.4,0.9
"165",6,13.6,0.45
"166",20,6.8,0.34
"167",212,28.5,0.41
"168",6,1.4,0.43
"169",6,1.2,0.31
"170",6,6.9,0.26
"171",6,3.2,0.28
"172",40,70.4,0.45
"173",10,3.4,0.42
"174",6,6.7,0.24
"175",6,22.7,0.84
"176",6,67.3,0.88
"177",6,8,0.25
"178",6,25.1,0.3
"179",6,8.6,0.24
"180",6,2.4,0.13
"181",8,4.4,0.3
"182",67,5.4,0.37
"183",21,11.5,0.51
"184",17,4.6,0.22
"185",6,34.5,0.5
"186",6,13.9,0.09
"187",6,2.6,0.23
"188",6,16.9,0.39
"189",14,4,0.27
"190",6,16.5,0.31
"191",6,51.5,1.19
"192",6,13.2,0.22
"193",6,4.1,0.27
"194",137,3.9,0.43
"195",136,6.2,0.2
"196",12,7.2,0.19
"197",27,59.6,0.34
"198",234,3.4,0.13
"199",6,3,0.79
"200",1520,4.3,0.4
"201",13,105,0.62
"202",9,12.9,0.47
"203",6,4.7,0.21
"204",6,7.2,0.39
"205",6,13.7,0.29
"206",6,10.6,0.76
"207",6,2.8,0.22
"208",6,30.7,0.31
"209",6,11.9,0.45
"210",14,51.1,0.45
"211",6,NA,0.31
"212",8,64.3,0.63
"213",6,11.6,0.42
"214",88,5,0.59
"215",0.5,2.9,0.18
"216",0.5,5.1,0.14
"217",0.5,3.1,0.13
"218",18.6,14.2,0.68
"219",5.5,1.4,0.52
"220",61.2,43.4,0.42
"221",0.5,18.1,1.3
"222",103,1,0.28
"223",1.5,4.4,0.14
"224",10.7,3.1,0.27
"225",313,1.7,0.64
"226",0.5,5.1,0.75
"227",131,27.5,0.49
"228",157,3.1,0.24
"229",8.9,2.7,0.24
"230",3.9,4.8,0.29
"231",0.5,33.1,1.88
"232",0.5,3.4,0.86
"233",0.5,3.8,0.69
"234",12.1,3.8,0.39
"235",0.5,8.2,0.37
"236",109,12.2,0.41
"237",0.5,2.4,0.98
"238",0.5,223,0.46
"239",2.7,4.4,0.51
"240",0.5,13.3,0.31
"241",0.5,1.9,0.53
"242",0.5,20,0.32
"243",16.8,16.1,0.31
"244",29,9.6,0.16
"245",2340,8.9,0.32
"246",3.8,95.1,0.38
"247",108,2.4,0.3
"248",6.8,3.4,0.14
"249",0.5,5.1,0.15
"250",61.4,20.2,0.13
"251",0.5,1.7,0.47
"252",670,17.5,NA
"253",287,140,0.58
"254",409,426,0.43
"255",1.2,1.8,0.05
"256",125,16.6,0.35
"257",202,7.7,0.74
"258",30.3,39.8,0.18
"259",0.5,1050,0.32
"260",52.3,342,0.6
"261",109,1360,0.75
"262",80.7,5,0.76
"263",75.6,4.9,0.26
"264",72.9,195,0.68
"265",64.5,892,0.92
"266",36.4,65.7,0.29
"267",34.5,99.5,0.65
"268",88.6,NA,0.58
"269",9.4,18,0.35
"270",2.1,17.6,0.09
"271",94.8,736,0.23
